Genetic_Condition,Chromosome_Involved,Description,Genetic_mutation,Treatment_Plan
Canavan disease,17p,"Description: Canavan disease is a rare genetic disorder that affects the brain and nervous system. It is caused by mutations in the ASPA gene, leading to a deficiency of the enzyme aspartoacylase. This deficiency results in the accumulation of a compound called N-acetylaspartic acid (NAA) in the brain, leading to progressive damage to nerve cells.
Symptoms: Symptoms typically appear in early infancy and may include developmental delays, poor muscle tone (hypotonia), feeding difficulties, and intellectual disability. Seizures, vision loss, and paralysis may also occur in some cases.
Diagnosis: Diagnosis is typically based on clinical evaluation, imaging studies (such as MRI), and genetic testing to identify mutations in the ASPA gene.",None,"Symptom management and supportive care
Physical therapy to maintain mobility and function
Occupational therapy to assist with daily activities
Speech therapy to improve communication skills
Nutritional support as needed
Genetic counseling for families"
Charcot Marie Tooth disease,17p12[1],"Description: Charcot–Marie–Tooth disease (CMT) is a group of inherited disorders that affect the peripheral nerves, leading to muscle weakness and sensory loss in the arms and legs. It is caused by mutations in genes that are involved in the structure and function of peripheral nerves.
Symptoms: Symptoms vary depending on the specific subtype of CMT but may include muscle weakness, foot deformities (such as high arches or hammertoes), loss of sensation, and difficulty walking.
Diagnosis: Diagnosis is typically based on clinical evaluation, nerve conduction studies, electromyography (EMG), and genetic testing to identify mutations associated with CMT.",Dup,"Physical therapy and exercise to maintain strength and flexibility
Orthopedic interventions such as braces or splints to support weak muscles and prevent deformities
Pain management medications as needed
Assistive devices such as orthotic shoes or walking aids
Genetic counseling for families
"
Color blindness,X,"Description: Color blindness, also known as color vision deficiency, is a genetic condition characterized by difficulty distinguishing certain colors. It is caused by abnormalities in the photopigments of cone cells in the retina, which are responsible for color vision.
Symptoms: Individuals with color blindness may have difficulty distinguishing between certain colors, particularly red and green or blue and yellow. In severe cases, they may see only shades of gray.
Diagnosis: Diagnosis is typically based on color vision testing, such as the Ishihara color plates, which involve identifying numbers or patterns within colored circles.",P,"No specific drug treatment available
Management focuses on education and coping strategies
Use of specialized lenses or glasses to enhance color perception (e.g., EnChroma glasses)"
Cri du chat syndrome,"""5""","Description: Cri du chat syndrome, also known as 5p- syndrome, is a rare genetic disorder caused by a deletion of genetic material on the short arm of chromosome 5. It is characterized by distinctive facial features, intellectual disability, and developmental delays.
Symptoms: Symptoms may include a high-pitched cat-like cry (cri du chat), low birth weight, microcephaly, round face, and developmental delays in speech and motor skills.
Diagnosis: Diagnosis is typically based on clinical evaluation, chromosomal analysis (karyotype), and genetic testing to identify the deletion on chromosome 5.",D,"Early intervention services to address developmental delays
Speech therapy to improve communication skills
Occupational therapy to assist with fine motor skills
Behavioral interventions to address hyperactivity or aggression
Supportive care tailored to individual needs"
Cystic fibrosis,7q,"Description: Cystic fibrosis is a hereditary disorder that affects the respiratory and digestive systems, causing thick, sticky mucus to build up in the lungs and digestive tract. It is caused by mutations in the CFTR gene, which regulates the movement of salt and water in and out of cells. Symptoms of cystic fibrosis include chronic cough, frequent lung infections, digestive problems, and poor growth.",P,"Airway clearance techniques to help clear mucus from the lungs
Inhalation therapies such as bronchodilators and hypertonic saline to improve lung function
CFTR modulator therapy (e.g., ivacaftor, lumacaftor/ivacaftor, tezacaftor/ivacaftor) to address underlying genetic defects
Antibiotics to treat lung infections
Nutritional support and pancreatic enzyme replacement therapy"
DiGeorge syndrome,22q,"Description: DiGeorge syndrome, also known as 22q11.2 deletion syndrome, is a chromosomal disorder caused by a deletion of genetic material on chromosome 22. It is characterized by a wide range of symptoms, including congenital heart defects, immune system abnormalities, developmental delay, and characteristic facial features. DiGeorge syndrome can affect multiple organ systems and vary widely in severity.",D,"Surgical correction of congenital heart defects, if present
Hormone replacement therapy to address hormone deficiencies (e.g., thymic hormone, parathyroid hormone)
Speech therapy and educational interventions to address speech and learning difficulties
Immunizations and preventive care to reduce the risk of infections
Supportive care and management of associated conditions (e.g., feeding difficulties, immune system abnormalities)"
Down syndrome,"""21""","Description: Down syndrome, also known as trisomy 21, is a genetic disorder caused by the presence of an extra copy of chromosome 21. It is characterized by intellectual disability, distinctive facial features, and developmental delays. Individuals with Down syndrome may also have other health issues, such as heart defects, gastrointestinal problems, and increased risk of certain medical conditions.",C,"Early intervention services to support developmental milestones
Educational programs tailored to individual needs (e.g., special education, speech therapy)
Routine medical care and screenings for associated health conditions (e.g., heart defects, thyroid disorders)
Supportive care and social services to promote independence and quality of life"
Duchenne muscular dystrophy,Xp,"Description: Duchenne muscular dystrophy (DMD) is a genetic disorder characterized by progressive muscle weakness and degeneration. It is caused by mutations in the dystrophin gene, which is essential for maintaining the structure and function of muscle fibers. Symptoms of DMD typically appear in early childhood and worsen over time, leading to difficulties with walking, mobility, and eventually breathing and heart function.",D,"Corticosteroid therapy (e.g., prednisone, deflazacort) to help slow the progression of muscle weakness
Physical therapy and exercise programs to maintain muscle strength and function
Orthopedic interventions (e.g., braces, surgery) to manage contractures and scoliosis
Cardiac and respiratory management to address complications
Investigational therapies such as gene therapy or exon-skipping drugs (e.g., eteplirsen)"
Familial hypercholesterolemia,"""19""","Description: Familial hypercholesterolemia (FH) is a genetic disorder characterized by high levels of cholesterol in the blood. It is caused by mutations in genes involved in cholesterol metabolism, such as the LDLR gene. FH increases the risk of premature heart disease and cardiovascular complications. Symptoms may include high levels of LDL cholesterol, early onset of heart disease, and family history of hypercholesterolemia.
",P,"Statin therapy (e.g., atorvastatin, simvastatin) to lower cholesterol levels
Other lipid-lowering medications such as ezetimibe or PCSK9 inhibitors (e.g., evolocumab, alirocumab)
Lifestyle modifications including a heart-healthy diet, regular exercise, and smoking cessation
Screening and management of associated cardiovascular risk factors (e.g., hypertension, diabetes)"
Haemochromatosis type 1,"""6""","Description: Haemochromatosis type 1 is a hereditary disorder characterized by excessive absorption of dietary iron, leading to iron overload in the body's tissues and organs. It is most commonly caused by mutations in the HFE gene. Symptoms of haemochromatosis type 1 may include fatigue, joint pain, abdominal pain, and liver problems. If left untreated, iron overload can lead to serious complications such as liver cirrhosis, diabetes, and heart disease.
",P,"Phlebotomy (blood removal) to reduce iron levels in the body
Chelation therapy with medications such as deferoxamine or deferasirox to remove excess iron
Dietary modifications to limit iron intake (e.g., avoiding iron supplements and iron-rich foods)
Monitoring of liver function and screening for complications such as liver cirrhosis and diabetes
Genetic counseling and screening for family members"
